S/N,Title,Author,Images,Shelflist,Position,Category,SubCategory,Publisher,Description,Tags
7320,Ribbit rabbit,Candace Ryan,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Ribbit-rabbit.jpg,1-2,013,Sách truyện thiếu nhi,0-2 tuổi,Bloomsbury Children's,"Frog and Bunny are best friends. RIBBIT, RABBIT! They do everything together, like fight monsters (ZIP IT, ZAP IT!). And even though they get in fights sometimes-YIP IT, YAP IT!-they always make up in the end.

Ribbit Rabbit features an effortlessly clever text that, in less than 150 words, captures the ups and downs of young friendships. Combined with adorably fresh illustrations by the prolific Mike Lowery, Ribbit Rabbit is the perfect choice to read aloud with youngest of readers.",0-2 tuổi
7356,Robot zombie Frankenstein,Annette Simon,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/robot-zombie-frankenstein.jpg,2-4,003,Sách truyện thiếu nhi,0-2 tuổi,Candlewick,"Perfect for high-energy story times, this cumulative tale is a madcap mash-up featuring robots, shapes in motley amalgamation, and . . . pie!

Squares, rectangles, ovals, triangles, and other colorful shapes are sorted and arranged into - two robots! But why stop there? Shape by shape, costume by costume, Robot and Robot play a game of oneupmanship that zips, zooms, and whirrs from friendly to hilariously out of control in nanoseconds. Robot Zombie? How about Robot Zombie Frankenstein? Can you handle Robot Zombie Frankenstein Pirate? What could be next? Where will it all stop? When the race makes a surprise (and delicious) turn, Robot and Robot are happy to be plain old robots - and buddies - once again.",0-2 tuổi
7392,Rrralph,Lois Ehlert,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Rrralph.jpg,4-1,001,Sách truyện thiếu nhi,0-2 tuổi,Little Simon,"Lois Ehlert’s classic story about a very special talking dog named Rrralph is now available as a Classic Board Book!

Meet Rrralph, the talking dog! He’s the smartest pup around, and he can tell you all about whether the path is rough, rough on his paws, or whether he wants to come inside. (Yep, yep, he does!)

Featuring Lois Ehlert’s signature bold and playful collage illustrations and funny call-and-response text, RRRalph is sure to get little ones laughing (and talking to their dogs!).",0-2 tuổi
7426,Ruth tells the truth,Ann Bryant,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Ruth-tells-the-truth.jpg,2-4,033,Sách truyện thiếu nhi,0-2 tuổi,Franklin Watts,"Ruth has a very vivid imagination. She likes to tell Mum stories and the truth, but how can Mum tell which is stories are true? Leapfrog Rhyme Time features fun, rhyming stories of no more than 180 words for children who are starting to read on their own.",0-2 tuổi
7497,Sasha and Olly get busy,Katherine Lodge,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Sasha-and-Olly-get-busy.jpg,2-1,056,Sách truyện thiếu nhi,0-2 tuổi,Simon & Schuster Children's UK,"Sasha is an adorable little panda and Olly is an endearingly goofy giraffe - and together they are ready for adventure! Sasha and Olly are busy playing at home. From baking cakes to making rocket ships and dressing up, their world is full of sparkly fun. The perfect story to keep toddlers busy and entertained!",0-2 tuổi
7705,Shapes: squares,Esther Sarfatti,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Shapes-squares.jpg,3-1,042,Sách truyện thiếu nhi,0-2 tuổi,Rourke Educational Media,"Repetition, simple sentences, and supporting images are used to familiarize the beginning reader with squares.",0-2 tuổi
7849,Six in a bed,Roderick Hunt,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Six-in-a-bed.jpg,4-1,060,Sách truyện thiếu nhi,0-2 tuổi,Oxford University Press,"This book is part of the phenomenally successful Oxford Reading Tree which is used to teach reading in 80% of primary schools. The stories within it are about much-loved Biff, Chip and Kipper, their friends and family, and the exciting adventures they have together. They are carefully graded across 9 stages and contain built-in progression and vocabulary repetition throughout. Each book includes notes for parents/carers and teaching assistants on the inside covers. This book is also available as part of a mixed pack of 6 different books or a class pack of 36 books of the same ORT stage. Each book pack comes with a free copy of up-to-date and invaluable teaching notes.",0-2 tuổi
7877,Sleeping,Liesbet Slegers,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Sleeping.jpg,3-1,054,Sách truyện thiếu nhi,0-2 tuổi,Clavis Publishing; Brdbk edition,"Cozy pajamas, a bottle of milk, and a cuddly teddy bear fill the pages of this comforting bedtime story. Brimming with colorful illustrations, this lovely board book focuses on a child’s daily life and will help guide toddlers through the moments leading up to bedtime.",0-2 tuổi
7879,Sleeping in,Harris Christine,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Sleeping-in.jpg,2-3,018,Sách truyện thiếu nhi,0-2 tuổi,Random House Australia,"Sam was tired. He wanted to sleep in. But when you live in a small house with a noisy family, sleeping in can be a problem!",0-2 tuổi
7884,"Sleepy, oh so sleepy",Denise Fleming,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Sleepy-oh-so-sleepy.jpg,2-4,011,Sách truyện thiếu nhi,0-2 tuổi,Henry Holt and Company,"Baby animals are going to sleep one by one, but the tiny human baby is the most special of all. Denise Fleming's knack for understanding the preschool set shines through in this gentle good-night story, illustrated with her signature pulp paintings.

Take a colorful look at all the tired babies who are closing their eyes, and start a new bedtime ritual with your own sleepy little one.",0-2 tuổi
7887,Slide and seek: animals,Priddy Books,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Slide-and-seek-animals.jpg,1-1,049,Sách truyện thiếu nhi,0-2 tuổi,Priddy Books,"Two sliding doors are on each spread for children to open up. Behind each one is the hidden, photographic answer to a simple question.",0-2 tuổi
7919,Smooth rough,Apple Jordan,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/smooth-rough.jpg,1-4,059,Sách truyện thiếu nhi,0-2 tuổi,Cavendish Square Publishing,Students will learn about the idea of opposites and the concept of story.,0-2 tuổi
7941,Sneak-a-peek words,Roger Priddy,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Sneak-a-peek-words.jpg,3-3,056,Sách truyện thiếu nhi,0-2 tuổi,Priddy Books Us,"Take a look around you - can you see a ball? Or any other toys? With a new first word to discover on the turn of every page, preschoolers will love to sneak-a-peek through the big holes in the pages of this first concept board book to see if they can find a match in the world around them. And they'll love to see themselves in the shimmery, shiny mirror at the end of the book, too!",0-2 tuổi
7960,Snow,Uri Shulevitz,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Snow.jpg,3-2,050,Sách truyện thiếu nhi,0-2 tuổi,"Farrar, Straus and Giroux (BYR)","""It's snowing, said boy with dog.
""It's only a snowflake,"" said grandfather with beard.

No one thinks one or two snowflakes will amount to anything. Not the man with the hat or the lady with the umbrella. Not even the television or the radio forecasters. But one boy and his dog have faith that the snow will amount to something spectacular, and when flakes start to swirl down on the city, they are also the only ones who know how to truly enjoy it.

Uri Shulevitz' playful depiction of a snowy day and the transformation of a city is perfectly captured in simple, poetic text and lively watercolor and pen-and-ink illustrations.",0-2 tuổi
7964,"Snow rabbit, spring rabbit",Il Sung Na,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Snow-rabbit-spring-rabbit.jpg,2-3,025,Sách truyện thiếu nhi,0-2 tuổi,Alfred A. Knopf Books for Young Readers,"Learn what animals do when the snow falls to the ground and all the trees are bare! Some fly long distances, while some swim to warmer waters. Some take a long, warm sleep where they live, while others have a thick, cozy coat and can stay in the snow! Filled with rich illustrations, charming animals, and a simple, lyrical text, Snow Rabbit, Spring Rabbit is now available in a board edition for the smallest hands and youngest readers. It's a gentle introduction to the ideas of adaptation, hibernation, and migration, and an exhuberant celebration of changing seasons.",0-2 tuổi
7965,"Snow rabbit, spring rabbit",Il Sung Na,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Snow-rabbit-spring-rabbit.jpg,3-2,005,Sách truyện thiếu nhi,0-2 tuổi,Alfred A. Knopf Books for Young Readers,"Learn what animals do when the snow falls to the ground and all the trees are bare! Some fly long distances, while some swim to warmer waters. Some take a long, warm sleep where they live, while others have a thick, cozy coat and can stay in the snow! Filled with rich illustrations, charming animals, and a simple, lyrical text, Snow Rabbit, Spring Rabbit is now available in a board edition for the smallest hands and youngest readers. It's a gentle introduction to the ideas of adaptation, hibernation, and migration, and an exhuberant celebration of changing seasons.",0-2 tuổi
7969,Snowballs,Lois Ehlert,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/snowballs.jpg,2-4,060,Sách truyện thiếu nhi,0-2 tuổi,HMH Books for Young Readers,"Pull on your mittens and head outside for a snowball day. Grab some snow and start rolling. With a few found objects--like buttons and fabric and seeds--and a little imagination, you can create a whole family out of snow. Children will love poring over Lois Ehlert's bold, funny illustrations and identifying the common (and not so common) objects she uses to decorate her snowy family.",0-2 tuổi
8064,Special Forces,Jim Brush,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/special-forces.jpg,27-2,027,Sách tham khảo,Nghề nghiệp,Franklin Watts,"Readers will go behind the scenes and ride along with the world's toughest, most courageous, and highly-trained units. They'll take in all the rough-and-tumble adventure that security personnel face each day in their frightening and high-energy careers. Thrilling stories, insider information, and action photography combine for a captivating look at these forces at work.",10-12 tuổi
8083,"Split, splat",Amy Gibson,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Split-splat.jpg,1-4,010,Sách truyện thiếu nhi,0-2 tuổi,Scholastic Press,"A delightful, rainy day celebration!

I sing a little rain song, a simple song, a plain song, a pitter-patter-tip-tap-on-the-windowpane song. Drip drop, plip plop, pit pat, split splat! Put down your umbrella! Take off your galoshes! It's time to sing and dance in the rain. When one little girl and her adorable dog venture out on a rainy, spring day, the neighborhood joins her and what results is squishy, sloshy, muddy day fun.

Amy Gibson’s simple, whimsical rhymes and New York Times bestselling illustrator Steve Bjorkman’s bright and sweet illustrations create the perfect celebration of nature and friendship in this springtime, anytime rhyme!",0-2 tuổi
8367,Take care of me from A to Z,Harriet Ziefert,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Take-care-of-me-from-A-to-Z.jpg,3-1,050,Sách truyện thiếu nhi,0-2 tuổi,Blue Apple Books ,"How can you take care of me? Let me ""alphabetize"" the ways. Photographs of whimsical, handmade dolls by textile artist Tatiana Oles accompany a lively text. Readers will delight in following the zany, one-of-a-kind, hand-crafted animals through a variety of commands that all center onme! From the timeless ""Play with Me"" to the contemporary ""E-mail Me,"" this book begs the reader for attention. An ideal gift for a loved one of any age or gender.",0-2 tuổi
8425,Ted in a red bed,Phil Roxbee Cox,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/ted-in-a-red-bed.jpg,1-3,035,Sách truyện thiếu nhi,0-2 tuổi,E.D.C. Publishing,"Combining a phonics-based text with a funny story, the books in this new series are aimed at beginner readers. The pictures give clues to the words and fold out flaps on some pages give children the chance to guess what will happen next.",0-2 tuổi
8492,That noise,Penny Dolan,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/that-noise.jpg,3-3,025,Sách truyện thiếu nhi,0-2 tuổi,Hachette Children's Group,All was quiet in the classroom but then the children start making lots of noise. Mr Edwards asks to see them all later. Are they in trouble? Or has Mr Edwards got an idea? He has lots of djembe drums in his room.,0-2 tuổi
8568,The ant and the grasshopper,Katie Daynes,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/The-ant-and-the-grasshopper.jpg,4-2,059,Sách truyện thiếu nhi,0-2 tuổi,Usborne,"A thoughtful retelling of Aesop's fable. It's the middle of summer and while the grasshopper is enjoying himself, the ant is busy preparing for winter and when winter arrives both the ant and the grasshopper learn something about the merits of hard work.",0-2 tuổi
8708,The Bobbsey twins: Freddie and Flossie at the beach,Laura Lee Hope,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/The-Bobbsey-twins-Freddie-and-Flossie-at-the-beach.jpg,4-1,019,Sách truyện thiếu nhi,0-2 tuổi,Simon Spotlight,"Build sand castles and splash in the waves - join Freddie and Flossie as they spend a delightful day at the beach with their dog, Snap!",0-2 tuổi
8810,The chicken thief,Beatrice Rodriguez,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/the-chicken-thief.jpg,3-1,055,Sách truyện thiếu nhi,0-2 tuổi,Gecko Press,"In this wordless story that is both funny and sweet, a fox steals a hen away from her home. Bear, rabbit, and rooster give chase, but in a twist on the usual children's story, this fox is not a villain. Rather, he tenderly holds hen as he runs into the night. A funny and life-affirming story, The Chicken Thief defies expectations, enlivening the mind with its cleverness while going straight for the heart. This intelligent and charming book is great for all ages. A love story, a road movie, and a playful speculation on stereotypes and misconceptions, The Chicken Thief makes for an unforgettable reading experience!Béatrice Rodriguez was born in 1969. She received her degree from the School of Decorative Arts in Strasbourg, France, and works today as an illustrator, creating children's books as well as pictures for the press. She lives in France.",0-2 tuổi
9043,The fishing trip,Beatrice Rodriguez,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/the-fishing-trip.jpg,2-3,042,Sách truyện thiếu nhi,0-2 tuổi,Gecko Press,"Fox and Chicken are happily awaiting their soon-to-hatch egg on their island home. But all is not well because there is nothing to eat, so Chicken decides to go on a fishing expedition leaving Fox to look after the egg. Waving goodbye, Chicken sets out on her journey with Crab in tow.",0-2 tuổi
9059,The foot book,Dr Seuss,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/The-foot-book.jpg,4-1,018,Sách truyện thiếu nhi,0-2 tuổi,Random House Books for Young Readers,"Explore all different kinds of feet, from fast to slow, front to back, big and small, and learn about opposites! Dr. Seuss's rhymes will delight young readers and help them discover the world around them, starting with their own bodies!",0-2 tuổi
9343,The lion and the mice,Rebecca Emberley,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/The-lion-and-the-mice.jpg,1-3,028,Sách truyện thiếu nhi,0-2 tuổi,Holiday House,"In this color-drenched interpretation of Aesop's fable, a mouse, in colorful attire suitable for a night on the town, finds herself trapped by a caged lion in the city zoo. The mouse begs to be released and promises to help the lion one day. The lion is skeptical but releases her nonetheless. Later that night, the mouse returns with mouse friends as spiffily attired as she herself, and together they unlock the lion's cage and prove that ""little mice can be big friends.""",0-2 tuổi
9354,The little composter,Jan Gerardi,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/the-little-composter.jpg,2-1,057,Sách truyện thiếu nhi,0-2 tuổi,Random House Books for Young Readers,HOW DOES YOUR garden grow? With apple cores and carrot tops and wiggly worms all in a row! A young child builds a compost in this back-tothe-earth lift-the-flap board book. Toddlers will love these seven spreads of playful rhymes and illustrations that show how much fun working with dirt can be.,0-2 tuổi
9574,The nice mice in the rice,Brian Cleary,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/the-nice-mice-in-the-rice.jpg,1-3,027,Sách truyện thiếu nhi,0-2 tuổi,Lerner Publishing Group,"Come along with me and learn all about reading! Brian P. Cleary's wacky sentences and Jason Miskimins's colorful art will make phonics fun! Find activities, games, and more at www.brianpcleary.com.",0-2 tuổi
9717,The rainbow fish: colors,Marcus Pfister,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/The-rainbow-fish-colors.jpg,3-4,057,Sách truyện thiếu nhi,0-2 tuổi,North-South Books,"A red starfish, a blue whale, an orange sea horse... Rainbow Fish's undersea world is filled with colorful creatures, and the most colorful of all is Rainbow Fish himself, sharing his glittering silver scales with his friends. Bold, simple images, reinforced by facing pages in the appropriate color, make this appealing board book the perfect way to teach colors to very young children.",0-2 tuổi
9851,The sleepless little vampire,Richard Egielski,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/The-sleepless-little-vampire.jpg,1-2,017,Sách truyện thiếu nhi,0-2 tuổi,Arthur A. Levine Books,"What could possibly be keeping a little vampire up tonight? Is it the growling of werewolves? Is it the cackling of witches? Is it the rattling of skeletons? No! It's that all scary creatures sleep during the DAY, silly!

This gentle, read-aloud romp gathers all the favorite fall frighties together for a book that's a year-round pleasure. See for yourself how Egielski masterfully lets the pictures grow and the pace build until the moment Little Vampire (empowered!) takes control.

Beautiful. Funny. A tiny bit scary. This one's a sure bet with Little Vampires everywhere.",0-2 tuổi
9950,The tapping tale,Judy Giglio,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/The-tapping-tale.jpg,1-1,031,Sách truyện thiếu nhi,0-2 tuổi,"Ronda has her first sleep-over at her best friend Pat's house. They play all day, but when the lights go out and it's time to sleep, Ronda hears a tap-tap-tap. Whatever can it be?",HMH Books for Young Readers,0-2 tuổi
10188,The yellow boat,Margaret Hillert,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/The-yellow-boat.jpg,3-1,047,Sách truyện thiếu nhi,0-2 tuổi,Modern Curriculum Press,A simple story reveals the things a little sailboat encounters while sailing along.,0-2 tuổi
10215,Then and now,Richard Thompson,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/then-and-now.jpg,3-1,027,Sách truyện thiếu nhi,0-2 tuổi,Fitzhenry & Whiteside,"This illustrated poem is a perfect read-aloud concept book for the very young reader. The simple vocabulary lets new readers follow the process of change as calves grow into cows, seeds grow into flowers, a river flows into the sea.",0-2 tuổi
10320,Thomas and friends: stuck in the mud,Shana Corey,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Thomas-and-friends-stuck-in-the-mud.jpg,2-2,022,Sách truyện thiếu nhi,0-2 tuổi,Random House Books for Young Readers,"Based on the new Thomas & Friends, ""Hero of the Rails"", this Step 1 leveled reader will introduce children to reading—and the exciting world of Thomas and his friends!",0-2 tuổi
10321,Thomas and friends: stuck in the mud,Shana Corey,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Thomas-and-friends-stuck-in-the-mud.jpg,3-1,023,Sách truyện thiếu nhi,0-2 tuổi,Random House Books for Young Readers,"Based on the new Thomas & Friends, ""Hero of the Rails"", this Step 1 leveled reader will introduce children to reading—and the exciting world of Thomas and his friends!",0-2 tuổi
10359,Thumper's scary night,Laura Driscoll,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Thomas-and-friends-stuck-in-the-mud.jpg,2-4,064,Sách truyện thiếu nhi,0-2 tuổi,Disney Press,"One night, Thumper and his sisters make their way out of the burrow. Around every turn, something seems scary, from glowing eyes to spooky shadows. But beneath each flap of this book, what looked scary at first is revealed to be not-so-scary, after all. This sturdy lift-the-flap board book is the perfect Halloween treat for the very young.",0-2 tuổi
10369,Tickling tigers,Sean Taylor,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Tickling-tigers.jpg,3-2,004,Sách truyện thiếu nhi,0-2 tuổi,Orchard,The tickly tigers are on the prowl! Daddy tiger is teaching his cubs his best tickling tips and it isn't long before the jungle is filled with laughter! But just WHO is the tickliest creature of all? A lovely story of the fun that can be had between a daddy and his children.,0-2 tuổi
10425,To grandmother's house we go,Charnan Simon,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/To-grandmother_s-house-we-go.jpg,1-3,044,Sách truyện thiếu nhi,0-2 tuổi,Children's Press,Simple text about a family visit provides an introduction to prepositional phrases.,0-2 tuổi
10465,Too much noise,Meg Greve,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Too-much-noise.jpg,1-3,034,Sách truyện thiếu nhi,0-2 tuổi, Little Birdie Books,"In This Emergent Reader, Mom Is Tired And Wants To Sleep In But There Is Too Much Noise. She Soon Discovers The Kids Have Made Her Breakfast. Teaching Focus, Words To Know Before You Read, Comprehension And Extension Activities. Inside Front And Back Cover Parent And Teacher Support.",0-2 tuổi
10466,Too much noise,Meg Greve,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Too-much-noise.jpg,4-1,034,Sách truyện thiếu nhi,0-2 tuổi, Little Birdie Books,"In This Emergent Reader, Mom Is Tired And Wants To Sleep In But There Is Too Much Noise. She Soon Discovers The Kids Have Made Her Breakfast. Teaching Focus, Words To Know Before You Read, Comprehension And Extension Activities. Inside Front And Back Cover Parent And Teacher Support.",0-2 tuổi
10469,Too pickley,Jean Reidy,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/too-pickley.jpg,1-3,019,Sách truyện thiếu nhi,0-2 tuổi,Bloomsbury USA Childrens,"Too wrinkly, too squishy, too fruity, too fishy!

It's time to eat, but somebody doesn't like a single item on his plate. What's a picky eater to do?

This romping text and stylishly bold art make for a delectable board book. Parents (and the picky eaters they love) will recognize themselves in the hilarious antics played out here, while the ending brings reassurance-and with a little luck, a clean plate. ",0-2 tuổi
10470,Too pickley,Jean Reidy,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/too-pickley.jpg,1-3,020,Sách truyện thiếu nhi,0-2 tuổi,Bloomsbury USA Childrens,"Too wrinkly, too squishy, too fruity, too fishy!

It's time to eat, but somebody doesn't like a single item on his plate. What's a picky eater to do?

This romping text and stylishly bold art make for a delectable board book. Parents (and the picky eaters they love) will recognize themselves in the hilarious antics played out here, while the ending brings reassurance-and with a little luck, a clean plate. ",0-2 tuổi
10471,Too pickley,Jean Reidy,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/too-pickley.jpg,1-3,021,Sách truyện thiếu nhi,0-2 tuổi,Bloomsbury USA Childrens,"Too wrinkly, too squishy, too fruity, too fishy!

It's time to eat, but somebody doesn't like a single item on his plate. What's a picky eater to do?

This romping text and stylishly bold art make for a delectable board book. Parents (and the picky eaters they love) will recognize themselves in the hilarious antics played out here, while the ending brings reassurance-and with a little luck, a clean plate. ",0-2 tuổi
10523,"Touchdown, dear dragon",Margaret Hillert,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Touchdown-dear-dragon.jpg,1-4,072,Sách truyện thiếu nhi,0-2 tuổi,Norwood House Press,A boy and his pet dragon meet friends for an informal football match.,0-2 tuổi
10572,Trucktown: Kat's maps,David Shannon,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Trucktown-Kat_s-maps.jpg,3-3,015,Sách truyện thiếu nhi,0-2 tuổi,Simon Spotlight,"Kat loves maps! She loves to make maps for everything. Her room, her block, her town, even her heart. When she gives Jack a map it leads to a surprise! After taking twists and turns through Trucktown and going over bridges and under tunnels, Jack finds out what it is. An art show of all of Kat's maps!",0-2 tuổi
10591,Turtle and snake go camping,Kate Spohn,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/turtle-and-snake-go-camping.jpg,2-4,030,Sách truyện thiếu nhi,0-2 tuổi,Penguin Young Readers,"Turtle and Snake are going camping. Where should they put their tent? They splash through a brook, climb over some rocks, and paddle across a pond, before they find the perfect spot. But the forest is a little too scary at night. These endearing characters help beginning readers gain confidence.",0-2 tuổi
10666,Up you go,Roderick Hunt,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Up-you-go.jpg,4-1,063,Sách truyện thiếu nhi,0-2 tuổi, Oxford University Press,"This series contains fun, motivating stories which introduce new readers to common words.",0-2 tuổi
10766,Watch corn grow,Kristen Rajczak,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/watch-corn-grow.jpg,4-1,039,Sách truyện thiếu nhi,0-2 tuổi,Gareth Stevens Publishing,"Briefly introduces the life cycle of corn, from the long rows of stalks in a cornfield to people and chickens eating corn.",0-2 tuổi
10863,What day is it?,Alex Moran,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/What-day-is-it.jpg,1-2,036,Sách truyện thiếu nhi,0-2 tuổi,Green Light Readers,"Gil the ant thinks all of his friends have forgotten his special day! Have they, or are they planning a special surprise?",0-2 tuổi
10870,What do they do: firefighters,Jennifer Zeiger,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/What-do-they-do-firefighters.jpg,27-2,052,Sách tham khảo,Nghề nghiệp,Cherry Lake Publishing,"The books in the Community Connections Library help kids understand the world around them. What Do They Do? Firefighters, gives young readers an idea of the role that Firefighters play in their community.",10-12 tuổi
10871,What do they do: judges,Josh Gregory,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/What-do-they-do-judges.jpg,27-2,053,Sách tham khảo,Nghề nghiệp,Cherry Lake Publishing,Get a glimpse of the role that judges play in the community.,10-12 tuổi
10872,What do they do: nurses,Jennifer Zeiger,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/What-do-they-do-nurses.jpg,27-2,051,Sách tham khảo,Nghề nghiệp,Cherry Lake Publishing,Get a glimpse of the role that nurses play in the community.,10-12 tuổi
10927,What is that?,Tana Hoban,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/What-is-that.jpg,2-4,059,Sách truyện thiếu nhi,0-2 tuổi,Greenwillow Books,Share these familiar objects with your baby. It is never too early to look and talk together!,0-2 tuổi
10946,What puppies do best,Laura Numeroff,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/what-puppies-do-best.jpg,1-2,040,Sách truyện thiếu nhi,0-2 tuổi,Chronicle Books,Best-selling author-illustrator duo Laura Numeroff and Lynn Munsinger team up to celebrate all the wonderful ways puppies can melt our hearts! Heartwarming illustrations and sweet text ensure this book will appeal to all children who have or wish for a puppy of their own.,0-2 tuổi
11089,Who are they?,Tana Hoban,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Who-are-they.jpg,1-1,056,Sách truyện thiếu nhi,0-2 tuổi,Greenwillow Books,"Share these animals and their babies with your baby.
It is never to early to look and talk together!",0-2 tuổi
11090,Who are they?,Tana Hoban,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Who-are-they.jpg,2-1,055,Sách truyện thiếu nhi,0-2 tuổi,Greenwillow Books,"Share these animals and their babies with your baby.
It is never to early to look and talk together!",0-2 tuổi
11091,Who are they?,Tana Hoban,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Who-are-they.jpg,2-4,058,Sách truyện thiếu nhi,0-2 tuổi,Greenwillow Books,"Share these animals and their babies with your baby.
It is never to early to look and talk together!",0-2 tuổi
11104,"Who loves you, baby?",Nina Laden,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Who-loves-you-baby.jpg,2-1,054,Sách truyện thiếu nhi,0-2 tuổi,Chronicle Books,"From the author and illustrator of Peek-a-Who?, Ready, Set, Go!, and Grow Up! comes another irresistible board book. With peek-a-boo windows and a mirror, this engaging booklets youngsters see themselves as adorable animal characters. The mirror is sure to grab and hold toddlers' attention, and the vibrant colors and playful text will capture their imagination.",0-2 tuổi
11124,Whose equipment is this?,Amanda Tourville,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Whose-equipment-is-this.jpg,27-2,040,Sách tham khảo,Nghề nghiệp,Capstone Press,Who is this book about? It's a mystery! A worker gives you clues about his job and the equipment he uses to help people in his community. Can you use the clues to guess who it is?,10-12 tuổi
11125,Whose hat is it?,Valeri Gorbachev,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Whose-hat-is-it.jpg,2-2,029,Sách truyện thiếu nhi,0-2 tuổi,HarperCollins,"When a little turtle comes across a lost hat, he is determined to find its owner. He asks Mouse, and Rabbit, and even Crocodile if it belongs to them, but they all say it isn't theirs. Whose hat can it be?",0-2 tuổi
11128,Whose toes are those?,Jabari Asim,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Whose-toes-are-those.jpg,2-4,062,Sách truyện thiếu nhi,0-2 tuổi,LB Kids,"A vibrant, multicultural board book that celebrates a baby's sweet toes, for fans of Ten Tiny Fingers and Ten Little Toes.

Parents and children will enjoy this interactive board book that is perfect for celebrating the classic giggle-inspiring game of This Little Piggy.

Fun, rhyming text is paired with bold artwork full of toddler appeal. ",0-2 tuổi
11245,Winter colors,Brian Enslow,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/winter-colors.jpg,1-4,033,Sách truyện thiếu nhi,0-2 tuổi,Enslow Elementary,"Take a look at the colors of the Winter. The colors of the season are on display! Color can be found everywhere, in mittens, nature, and of course wrapping holiday gifts. Using sight words and simple sentences, early readers are shown the colors of the rainbow, and then find each color of the rainbow as the book progresses. Contains large, readable text.",0-2 tuổi
11305,Working at the post office,Katie Marsico,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/working-at-the-post-office.jpg,27-2,059,Sách tham khảo,Nghề nghiệp,Cherry Lake Publishing,This book provides young readers with an overview of what it is like to work within the post office and then profiles several careers with the postal service.,10-12 tuổi
